"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","subscribeTenant_shouldThrowWhenRoleNotFound","subscribeTenant_shouldThrowWhenRoleNotFound()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testUpdateGroup_groupNotFound_throwsException","testUpdateGroup_groupNotFound_throwsException()",""
"passed","Wed Oct 15 23:11:48 GMT 2025","Wed Oct 15 23:11:49 GMT 2025","482","","com.anastasia.Anastasia_BackEnd.api.tests.AuthTests","","com.anastasia.Anastasia_BackEnd.api.tests.AuthTests","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","5","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testUpdatePriestDetails_updatesAndSaves","testUpdatePriestDetails_updatesAndSaves()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","11","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testFindAllBySpecification","testFindAllBySpecification()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","17","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testFindOne_whenNotExists","testFindOne_whenNotExists()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testFindOneGroup_success","testFindOneGroup_success()",""
"passed","Wed Oct 15 23:12:06 GMT 2025","Wed Oct 15 23:12:06 GMT 2025","20","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","testFindAllUsersByChurchIdOptimized","testFindAllUsersByChurchIdOptimized()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testConvertToDTO","testConvertToDTO()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","testConvertToEntity_withNullDTO_shouldReturnNull","testConvertToEntity_withNullDTO_shouldReturnNull()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","testHasMembershipNumber","testHasMembershipNumber()",""
